Hunger Resistance,1,Wall Runner,1,0,0,0
Constitution,1,Recovery Up,2,0,0,0
Earplugs,1,Free Meal,1,1,0,0
Counterstrike,2,Sleep Resistance,1,2,0,0
Affinity Sliding,1,Wirebug Whisperer,1,2,1,0
Razor Sharp,1,None,0,0,1,0
Bubbly Dance,1,Dragon Attack,1,1,0,0
Water Attack,1,Weakness Exploit,1,1,0,0
Punishing Draw,1,Stamina Thief,2,3,0,0
Agitator,2,None,0,0,0,0
Thunder Attack,1,Recoil Down,1,1,0,0
Speed Eating,2,Master Mounter,1,1,1,0
Speed Sharpening,1,Wall Runner,1,1,1,0
Diversion,1,Thunder Attack,1,0,0,0
Water Attack,2,Weakness Exploit,1,0,0,0
Recovery Up,2,Bombardier,2,3,0,0
Punishing Draw,1,Tremor Resistance,1,0,0,0
Carving Pro,1,Tremor Resistance,2,3,0,0
Earplugs,1,Load Shells,1,1,0,0
Affinity Sliding,1,Poison Attack,1,1,1,0
Ice Attack,3,Sleep Resistance,2,1,1,0
Punishing Draw,2,Load Shells,1,0,0,0
Speed Sharpening,1,Stamina Surge,1,1,0,0
Evade Window,1,Quick Sheath,1,2,0,0
Weakness Exploit,1,None,0,1,0,1
Slugger,2,Free Meal,1,1,0,0
Stun Resistance,2,Sleep Attack,1,0,0,0
Hellfire Cloak,1,None,0,2,0,0
Constitution,1,Recoil Down,1,0,1,1
Constitution,1,Slugger,1,3,0,0
Speed Eating,1,Item Prolonger,1,1,1,0
Windproof,1,Stamina Surge,2,2,0,0
Mushroomancer,1,None,0,0,0,0
Windproof,1,Carving Pro,1,0,0,0
Critical Boost,1,None,0,1,0,0
Water Attack,2,Evade Extender,2,1,0,1
Quick Sheath,1,Evade Extender,1,1,1,0
Dragon Resistance,1,Peak Performance,1,0,0,0
Steadiness,1,Punishing Draw,1,2,0,0
Wide-Range,2,Free Meal,2,1,0,0
Bombardier,1,Quick Sheath,1,1,1,0
Constitution,2,Hunger Resistance,1,2,0,0
Thunder Attack,1,Geologist,2,0,0,1
Stamina Thief,2,Paralysis Resistance,2,1,0,1
Evade Extender,2,Defense Boost,1,2,0,0
Thunder Attack,3,Sleep Resistance,1,1,1,0
Steadiness,2,Reload Speed,1,2,0,0
Speed Sharpening,1,Resentment,1,1,0,0
Latent Power,1,Water Resistance,1,1,0,0
Critical Eye,1,Special Ammo Boost,1,0,0,0
